,Survived,Pclass,Sex,Age,Family_size,Embarked_Q,Embarked_S,Embarked_C_1,fare_category,Has_Cabin
204,1,3,1,18.0,1,0,1,0,Low,0
205,0,3,0,2.0,2,0,1,0,Low,1
206,0,3,1,32.0,2,0,1,0,Medium,0
207,1,3,1,26.0,1,0,0,1,Medium,0
208,1,3,0,16.0,1,1,0,0,Low,0
209,1,1,1,40.0,1,0,0,1,Medium,1
210,0,3,1,24.0,1,0,1,0,Low,0
211,1,2,0,35.0,1,0,1,0,Medium,0
212,0,3,1,22.0,1,0,1,0,Low,0
213,0,2,1,30.0,1,0,1,0,Low,0
214,0,3,1,29.7,2,1,0,0,Low,0
215,1,1,0,31.0,2,0,0,1,High,1
216,1,3,0,27.0,1,0,1,0,Low,0
217,0,2,1,42.0,2,0,1,0,Medium,0
218,1,1,0,32.0,1,0,0,1,High,1
219,0,2,1,30.0,1,0,1,0,Low,0
220,1,3,1,16.0,1,0,1,0,Low,0
221,0,2,1,27.0,1,0,1,0,Low,0
222,0,3,1,51.0,1,0,1,0,Low,0
223,0,3,1,29.7,1,0,1,0,Low,0
224,1,1,1,38.0,2,0,1,0,High,1
225,0,3,1,22.0,1,0,1,0,Low,0
226,1,2,1,19.0,1,0,1,0,Low,0
227,0,3,1,20.5,1,0,1,0,Low,0
228,0,2,1,18.0,1,0,1,0,Low,0
229,0,3,0,29.7,5,0,1,0,Medium,0
230,1,1,0,35.0,2,0,1,0,High,1
231,0,3,1,29.0,1,0,1,0,Low,0
232,0,2,1,59.0,1,0,1,0,Low,0
233,1,3,0,5.0,7,0,1,0,Medium,0
234,0,2,1,24.0,1,0,1,0,Low,0
235,0,3,0,29.7,1,0,1,0,Low,0
236,0,2,1,44.0,2,0,1,0,Medium,0
237,1,2,0,8.0,3,0,1,0,Medium,0
238,0,2,1,19.0,1,0,1,0,Low,0
239,0,2,1,33.0,1,0,1,0,Low,0
240,0,3,0,29.7,2,0,0,1,Low,0
241,1,3,0,29.7,2,1,0,0,Medium,0
242,0,2,1,29.0,1,0,1,0,Low,0
243,0,3,1,22.0,1,0,1,0,Low,0
244,0,3,1,30.0,1,0,0,1,Low,0
245,0,1,1,44.0,3,1,0,0,High,1
246,0,3,0,25.0,1,0,1,0,Low,0
247,1,2,0,24.0,3,0,1,0,Low,0
248,1,1,1,37.0,3,0,1,0,High,1
249,0,2,1,54.0,2,0,1,0,Medium,0
250,0,3,1,29.7,1,0,1,0,Low,0
251,0,3,0,29.0,3,0,1,0,Low,1
252,0,1,1,62.0,1,0,1,0,Medium,1
253,0,3,1,30.0,2,0,1,0,Medium,0
254,0,3,0,41.0,3,0,1,0,Medium,0
255,1,3,0,29.0,3,0,0,1,Medium,0
256,1,1,0,29.7,1,0,0,1,High,0
257,1,1,0,30.0,1,0,1,0,High,1
258,1,1,0,35.0,1,0,0,1,High,0
259,1,2,0,50.0,2,0,1,0,Medium,0
260,0,3,1,29.7,1,1,0,0,Low,0
261,1,3,1,3.0,7,0,1,0,Medium,0
262,0,1,1,52.0,3,0,1,0,High,1
263,0,1,1,40.0,1,0,1,0,Low,1
264,0,3,0,29.7,1,1,0,0,Low,0
265,0,2,1,36.0,1,0,1,0,Low,0
266,0,3,1,16.0,6,0,1,0,Medium,0
267,1,3,1,25.0,2,0,1,0,Low,0
268,1,1,0,58.0,2,0,1,0,High,1
269,1,1,0,35.0,1,0,1,0,High,1
270,0,1,1,29.7,1,0,1,0,Medium,0
271,1,3,1,25.0,1,0,1,0,Low,0
272,1,2,0,41.0,2,0,1,0,Medium,0
273,0,1,1,37.0,2,0,0,1,Medium,1
274,1,3,0,29.7,1,1,0,0,Low,0
275,1,1,0,63.0,2,0,1,0,High,1
276,0,3,0,45.0,1,0,1,0,Low,0
277,0,2,1,29.7,1,0,1,0,Low,0
278,0,3,1,7.0,6,1,0,0,Medium,0
279,1,3,0,35.0,3,0,1,0,Medium,0
280,0,3,1,65.0,1,1,0,0,Low,0
281,0,3,1,28.0,1,0,1,0,Low,0
282,0,3,1,16.0,1,0,1,0,Low,0
283,1,3,1,19.0,1,0,1,0,Low,0
284,0,1,1,29.7,1,0,1,0,Medium,1
285,0,3,1,33.0,1,0,0,1,Low,0
286,1,3,1,30.0,1,0,1,0,Low,0
287,0,3,1,22.0,1,0,1,0,Low,0
288,1,2,1,42.0,1,0,1,0,Low,0
289,1,3,0,22.0,1,1,0,0,Low,0
290,1,1,0,26.0,1,0,1,0,High,0
291,1,1,0,19.0,2,0,0,1,High,1
292,0,2,1,36.0,1,0,0,1,Low,1
293,0,3,0,24.0,1,0,1,0,Low,0
294,0,3,1,24.0,1,0,1,0,Low,0
295,0,1,1,29.7,1,0,0,1,Medium,0
296,0,3,1,23.5,1,0,0,1,Low,0
297,0,1,0,2.0,4,0,1,0,High,1
298,1,1,1,29.7,1,0,1,0,Medium,1
299,1,1,0,50.0,2,0,0,1,High,1
300,1,3,0,29.7,1,1,0,0,Low,0
301,1,3,1,29.7,3,1,0,0,Medium,0
302,0,3,1,19.0,1,0,1,0,Low,0
303,1,2,0,29.7,1,1,0,0,Low,1
304,0,3,1,29.7,1,0,1,0,Low,0
305,1,1,1,0.92,4,0,1,0,High,1
306,1,1,0,29.7,1,0,0,1,High,0
307,1,1,0,17.0,2,0,0,1,High,1
308,0,2,1,30.0,2,0,0,1,Medium,0
309,1,1,0,30.0,1,0,0,1,High,1
310,1,1,0,24.0,1,0,0,1,High,1
311,1,1,0,18.0,5,0,0,1,High,1
312,0,2,0,26.0,3,0,1,0,Medium,0
313,0,3,1,28.0,1,0,1,0,Low,0
314,0,2,1,43.0,3,0,1,0,Medium,0
315,1,3,0,26.0,1,0,1,0,Low,0
316,1,2,0,24.0,2,0,1,0,Medium,0
317,0,2,1,54.0,1,0,1,0,Low,0
318,1,1,0,31.0,3,0,1,0,High,1
319,1,1,0,40.0,3,0,0,1,High,1
320,0,3,1,22.0,1,0,1,0,Low,0
321,0,3,1,27.0,1,0,1,0,Low,0
322,1,2,0,30.0,1,1,0,0,Low,0
323,1,2,0,22.0,3,0,1,0,Medium,0
324,0,3,1,29.7,11,0,1,0,High,0
325,1,1,0,36.0,1,0,0,1,High,1
326,0,3,1,61.0,1,0,1,0,Low,0
327,1,2,0,36.0,1,0,1,0,Low,1
328,1,3,0,31.0,3,0,1,0,Medium,0
329,1,1,0,16.0,2,0,0,1,High,1
330,1,3,0,29.7,3,1,0,0,Medium,0
331,0,1,1,45.5,1,0,1,0,Medium,1
332,0,1,1,38.0,2,0,1,0,High,1
333,0,3,1,16.0,3,0,1,0,Medium,0
334,1,1,0,29.7,2,0,1,0,High,0
335,0,3,1,29.7,1,0,1,0,Low,0
336,0,1,1,29.0,2,0,1,0,High,1
337,1,1,0,41.0,1,0,0,1,High,1
338,1,3,1,45.0,1,0,1,0,Low,0
339,0,1,1,45.0,1,0,1,0,Medium,1
340,1,2,1,2.0,3,0,1,0,Medium,1
341,1,1,0,24.0,6,0,1,0,High,1
342,0,2,1,28.0,1,0,1,0,Low,0
343,0,2,1,25.0,1,0,1,0,Low,0
344,0,2,1,36.0,1,0,1,0,Low,0
345,1,2,0,24.0,1,0,1,0,Low,1
346,1,2,0,40.0,1,0,1,0,Low,0
347,1,3,0,29.7,2,0,1,0,Medium,0
348,1,3,1,3.0,3,0,1,0,Medium,0
349,0,3,1,42.0,1,0,1,0,Low,0
350,0,3,1,23.0,1,0,1,0,Low,0
351,0,1,1,29.7,1,0,1,0,Medium,1
352,0,3,1,15.0,3,0,0,1,Low,0
353,0,3,1,25.0,2,0,1,0,Medium,0
354,0,3,1,29.7,1,0,0,1,Low,0
355,0,3,1,28.0,1,0,1,0,Low,0
356,1,1,0,22.0,2,0,1,0,High,1
357,0,2,0,38.0,1,0,1,0,Low,0
358,1,3,0,29.7,1,1,0,0,Low,0
359,1,3,0,29.7,1,1,0,0,Low,0
360,0,3,1,40.0,6,0,1,0,Medium,0
361,0,2,1,29.0,2,0,0,1,Medium,0
362,0,3,0,45.0,2,0,0,1,Low,0
363,0,3,1,35.0,1,0,1,0,Low,0
364,0,3,1,29.7,2,1,0,0,Medium,0
365,0,3,1,30.0,1,0,1,0,Low,0
366,1,1,0,60.0,2,0,0,1,High,1
367,1,3,0,29.7,1,0,0,1,Low,0
368,1,3,0,29.7,1,1,0,0,Low,0
369,1,1,0,24.0,1,0,0,1,High,1
370,1,1,1,25.0,2,0,0,1,High,1
371,0,3,1,18.0,2,0,1,0,Low,0
372,0,3,1,19.0,1,0,1,0,Low,0
373,0,1,1,22.0,1,0,0,1,High,0
374,0,3,0,3.0,5,0,1,0,Medium,0
375,1,1,0,29.7,2,0,0,1,High,0
376,1,3,0,22.0,1,0,1,0,Low,0
377,0,1,1,27.0,3,0,0,1,High,1
378,0,3,1,20.0,1,0,0,1,Low,0
379,0,3,1,19.0,1,0,1,0,Low,0
380,1,1,0,42.0,1,0,0,1,High,0
381,1,3,0,1.0,3,0,0,1,Medium,0
382,0,3,1,32.0,1,0,1,0,Low,0
383,1,1,0,35.0,2,0,1,0,High,0
384,0,3,1,29.7,1,0,1,0,Low,0
385,0,2,1,18.0,1,0,1,0,High,0
386,0,3,1,1.0,8,0,1,0,High,0
387,1,2,0,36.0,1,0,1,0,Low,0
388,0,3,1,29.7,1,1,0,0,Low,0
389,1,2,0,17.0,1,0,0,1,Low,0
390,1,1,1,36.0,4,0,1,0,High,1
391,1,3,1,21.0,1,0,1,0,Low,0
392,0,3,1,28.0,3,0,1,0,Low,0
393,1,1,0,23.0,2,0,0,1,High,1
394,1,3,0,24.0,3,0,1,0,Medium,1
395,0,3,1,22.0,1,0,1,0,Low,0
396,0,3,0,31.0,1,0,1,0,Low,0
397,0,2,1,46.0,1,0,1,0,Medium,0
398,0,2,1,23.0,1,0,1,0,Low,0
399,1,2,0,28.0,1,0,1,0,Low,0
400,1,3,1,39.0,1,0,1,0,Low,0
401,0,3,1,26.0,1,0,1,0,Low,0
402,0,3,0,21.0,2,0,1,0,Low,0
403,0,3,1,28.0,2,0,1,0,Medium,0
404,0,3,0,20.0,1,0,1,0,Low,0
405,0,2,1,34.0,2,0,1,0,Medium,0
406,0,3,1,51.0,1,0,1,0,Low,0
407,1,2,1,3.0,3,0,1,0,Medium,0
408,0,3,1,21.0,1,0,1,0,Low,0
409,0,3,0,29.7,5,0,1,0,Medium,0
410,0,3,1,29.7,1,0,1,0,Low,0
411,0,3,1,29.7,1,1,0,0,Low,0
412,1,1,0,33.0,2,1,0,0,High,1
413,0,2,1,29.7,1,0,1,0,Low,0
414,1,3,1,44.0,1,0,1,0,Low,0
415,0,3,0,29.7,1,0,1,0,Low,0
416,1,2,0,34.0,3,0,1,0,Medium,0
417,1,2,0,18.0,3,0,1,0,Low,0
418,0,2,1,30.0,1,0,1,0,Low,0
419,0,3,0,10.0,3,0,1,0,Medium,0
420,0,3,1,29.7,1,0,0,1,Low,0
421,0,3,1,21.0,1,1,0,0,Low,0
422,0,3,1,29.0,1,0,1,0,Low,0
423,0,3,0,28.0,3,0,1,0,Low,0
424,0,3,1,18.0,3,0,1,0,Medium,0
425,0,3,1,29.7,1,0,1,0,Low,0
426,1,2,0,28.0,2,0,1,0,Medium,0
427,1,2,0,19.0,1,0,1,0,Medium,0
428,0,3,1,29.7,1,1,0,0,Low,0
429,1,3,1,32.0,1,0,1,0,Low,1
430,1,1,1,28.0,1,0,1,0,Medium,1
431,1,3,0,29.7,2,0,1,0,Medium,0
432,1,2,0,42.0,2,0,1,0,Medium,0
433,0,3,1,17.0,1,0,1,0,Low,0
434,0,1,1,50.0,2,0,1,0,High,1
435,1,1,0,14.0,4,0,1,0,High,1
436,0,3,0,21.0,5,0,1,0,Medium,0
437,1,2,0,24.0,6,0,1,0,Medium,0
438,0,1,1,64.0,6,0,1,0,High,1
439,0,2,1,31.0,1,0,1,0,Low,0
440,1,2,0,45.0,3,0,1,0,Medium,0
441,0,3,1,20.0,1,0,1,0,Low,0
442,0,3,1,25.0,2,0,1,0,Low,0
443,1,2,0,28.0,1,0,1,0,Low,0
444,1,3,1,29.7,1,0,1,0,Low,0
445,1,1,1,4.0,3,0,1,0,High,1
446,1,2,0,13.0,2,0,1,0,Medium,0
447,1,1,1,34.0,1,0,1,0,Medium,0
448,1,3,0,5.0,4,0,0,1,Medium,0
449,1,1,1,52.0,1,0,1,0,Medium,1
450,0,2,1,36.0,4,0,1,0,Medium,0
451,0,3,1,29.7,2,0,1,0,Medium,0
452,0,1,1,30.0,1,0,0,1,Medium,1
453,1,1,1,49.0,2,0,0,1,High,1
454,0,3,1,29.7,1,0,1,0,Low,0
455,1,3,1,29.0,1,0,0,1,Low,0
456,0,1,1,65.0,1,0,1,0,Medium,1
457,1,1,0,29.7,2,0,1,0,High,1
458,1,2,0,50.0,1,0,1,0,Low,0
459,0,3,1,29.7,1,1,0,0,Low,0
460,1,1,1,48.0,1,0,1,0,Medium,1
461,0,3,1,34.0,1,0,1,0,Low,0
462,0,1,1,47.0,1,0,1,0,Medium,1
463,0,2,1,48.0,1,0,1,0,Low,0
464,0,3,1,29.7,1,0,1,0,Low,0
465,0,3,1,38.0,1,0,1,0,Low,0
466,0,2,1,29.7,1,0,1,0,Low,0
467,0,1,1,56.0,1,0,1,0,Medium,0
468,0,3,1,29.7,1,1,0,0,Low,0
469,1,3,0,0.75,4,0,0,1,Medium,0
470,0,3,1,29.7,1,0,1,0,Low,0
471,0,3,1,38.0,1,0,1,0,Low,0
472,1,2,0,33.0,4,0,1,0,Medium,0
473,1,2,0,23.0,1,0,0,1,Low,1
474,0,3,0,22.0,1,0,1,0,Low,0
475,0,1,1,29.7,1,0,1,0,High,1
476,0,2,1,34.0,2,0,1,0,Medium,0
477,0,3,1,29.0,2,0,1,0,Low,0
478,0,3,1,22.0,1,0,1,0,Low,0
479,1,3,0,2.0,2,0,1,0,Low,0
480,0,3,1,9.0,8,0,1,0,High,0
481,0,2,1,29.7,1,0,1,0,Low,0
482,0,3,1,50.0,1,0,1,0,Low,0
483,1,3,0,63.0,1,0,1,0,Low,0
484,1,1,1,25.0,2,0,0,1,High,1
485,0,3,0,29.7,5,0,1,0,Medium,0
486,1,1,0,35.0,2,0,1,0,High,1
487,0,1,1,58.0,1,0,0,1,Medium,1
488,0,3,1,30.0,1,0,1,0,Low,0
489,1,3,1,9.0,3,0,1,0,Medium,0
490,0,3,1,29.7,2,0,1,0,Medium,0
491,0,3,1,21.0,1,0,1,0,Low,0
492,0,1,1,55.0,1,0,1,0,Medium,1
493,0,1,1,71.0,1,0,0,1,High,0
494,0,3,1,21.0,1,0,1,0,Low,0
495,0,3,1,29.7,1,0,0,1,Low,0
496,1,1,0,54.0,2,0,0,1,High,1
497,0,3,1,29.7,1,0,1,0,Medium,0
498,0,1,0,25.0,4,0,1,0,High,1
499,0,3,1,24.0,1,0,1,0,Low,0
500,0,3,1,17.0,1,0,1,0,Low,0
501,0,3,0,21.0,1,1,0,0,Low,0
502,0,3,0,29.7,1,1,0,0,Low,0
503,0,3,0,37.0,1,0,1,0,Low,0
504,1,1,0,16.0,1,0,1,0,High,1
505,0,1,1,18.0,2,0,0,1,High,1
506,1,2,0,33.0,3,0,1,0,Medium,0
507,1,1,1,29.7,1,0,1,0,Medium,0
508,0,3,1,28.0,1,0,1,0,Medium,0
509,1,3,1,26.0,1,0,1,0,High,0
510,1,3,1,29.0,1,1,0,0,Low,0
511,0,3,1,29.7,1,0,1,0,Low,0
512,1,1,1,36.0,1,0,1,0,Medium,1
513,1,1,0,54.0,2,0,0,1,High,0
514,0,3,1,24.0,1,0,1,0,Low,0
515,0,1,1,47.0,1,0,1,0,Medium,1
516,1,2,0,34.0,1,0,1,0,Low,1
517,0,3,1,29.7,1,1,0,0,Medium,0
518,1,2,0,36.0,2,0,1,0,Medium,0
519,0,3,1,32.0,1,0,1,0,Low,0
520,1,1,0,30.0,1,0,1,0,High,1
521,0,3,1,22.0,1,0,1,0,Low,0
522,0,3,1,29.7,1,0,0,1,Low,0
523,1,1,0,44.0,2,0,0,1,High,1
524,0,3,1,29.7,1,0,0,1,Low,0
525,0,3,1,40.5,1,1,0,0,Low,0
526,1,2,0,50.0,1,0,1,0,Low,0
527,0,1,1,29.7,1,0,1,0,High,1
528,0,3,1,39.0,1,0,1,0,Low,0
529,0,2,1,23.0,4,0,1,0,Low,0
530,1,2,0,2.0,3,0,1,0,Medium,0
531,0,3,1,29.7,1,0,0,1,Low,0
532,0,3,1,17.0,3,0,0,1,Low,0
533,1,3,0,29.7,3,0,0,1,Medium,0
534,0,3,0,30.0,1,0,1,0,Low,0
535,1,2,0,7.0,3,0,1,0,Medium,0
536,0,1,1,45.0,1,0,1,0,Medium,1
537,1,1,0,30.0,1,0,0,1,High,0
538,0,3,1,29.7,1,0,1,0,Low,0
539,1,1,0,22.0,3,0,0,1,High,1
540,1,1,0,36.0,3,0,1,0,High,1
541,0,3,0,9.0,7,0,1,0,Medium,0
542,0,3,0,11.0,7,0,1,0,Medium,0
543,1,2,1,32.0,2,0,1,0,Medium,0
544,0,1,1,50.0,2,0,0,1,High,1
545,0,1,1,64.0,1,0,1,0,Medium,0
546,1,2,0,19.0,2,0,1,0,Medium,0
547,1,2,1,29.7,1,0,0,1,Low,0
548,0,3,1,33.0,3,0,1,0,Medium,0
549,1,2,1,8.0,3,0,1,0,Medium,0
550,1,1,1,17.0,3,0,0,1,High,1
551,0,2,1,27.0,1,0,1,0,Medium,0
